iter	RMSE
0	9838.810414
1	9452.635419
2	9087.786305
3	8743.247926
4	8383.609198
5	8061.359102
6	7776.881291
7	7524.515335
8	7258.477726
9	7021.96031
10	6766.859512
11	6537.457427
12	6309.879229
13	6085.18705
14	5873.449
15	5673.26514
16	5524.273789
17	5353.381004
18	5207.130203
19	5045.683992
20	4892.067224
21	4746.551854
22	4602.224162
23	4454.9376
24	4316.883783
25	4194.672433
26	4088.834255
27	3992.894245
28	3891.907523
29	3790.517701
30	3689.392311
31	3606.433701
32	3508.168341
33	3439.010582
34	3360.821032
35	3290.868429
36	3209.254948
37	3141.813306
38	3075.952281
39	3014.445994
40	2951.531303
41	2891.425226
42	2846.265158
43	2794.854702
44	2737.845238
45	2676.09188
46	2633.44818
47	2581.073401
48	2536.767572
49	2493.042668
50	2445.524243
51	2411.780831
52	2381.589861
53	2351.88736
54	2318.645077
55	2286.054688
56	2253.731561
57	2224.011371
58	2192.287047
59	2168.545541
60	2139.748279
61	2113.847124
62	2090.676088
63	2069.95792
64	2052.555116
65	2034.458058
66	2011.519172
67	1989.812914
68	1966.715542
69	1948.395874
70	1933.224214
71	1911.866227
72	1888.967776
73	1869.790615
74	1854.355372
75	1838.136885
76	1822.186493
77	1805.533994
78	1792.941764
79	1779.758792
80	1764.630164
81	1752.746342
82	1735.634243
83	1723.840881
84	1709.59384
85	1698.68526
86	1689.264293
87	1682.615716
88	1669.968816
89	1660.772787
90	1652.648124
91	1642.2146
92	1635.616307
93	1622.972771
94	1615.045433
95	1608.127283
96	1600.03354
97	1584.666984
98	1576.505451
99	1567.94201
100	1560.322366
101	1551.854006
102	1542.194331
103	1524.683457
104	1518.461653
105	1512.583932
106	1506.437896
107	1498.918043
108	1496.461724
109	1488.015578
110	1480.066642
111	1470.957555
112	1467.138406
113	1461.662484
114	1448.49405
115	1433.713998
116	1428.139494
117	1423.674041
118	1414.577476
119	1405.048115
120	1400.030843
121	1394.97991
122	1389.704785
123	1385.383022
124	1376.847259
125	1371.749187
126	1368.835972
127	1360.910576
128	1356.149862
129	1353.119454
130	1344.495161
131	1338.807671
132	1334.735847
133	1331.152375
134	1321.667637
135	1313.515149
136	1306.30057
137	1299.83082
138	1293.467657
139	1290.147333
140	1286.425028
141	1277.366233
142	1272.753286
143	1267.632755
144	1262.819865
145	1260.730982
146	1257.400386
147	1253.441028
148	1248.440791
149	1242.042732
150	1239.204886
151	1232.731458
152	1229.537501
153	1225.783172
154	1221.102067
155	1215.12644
156	1212.682582
157	1210.460808
158	1204.239116
159	1197.969051
160	1193.047268
161	1191.132409
162	1186.371368
163	1183.428869
164	1178.049326
165	1173.00724
166	1170.003703
167	1167.23043
168	1163.520063
169	1161.123818
170	1154.810841
171	1151.426588
172	1147.462452
173	1145.046654
174	1140.660897
175	1138.486811
176	1136.340139
177	1133.252568
178	1130.705743
179	1127.022731
180	1124.92739
181	1121.096265
182	1118.982549
183	1115.184783
184	1112.370881
185	1109.151096
186	1106.096488
187	1104.023016
188	1100.134326
189	1098.765894
190	1096.985198
191	1094.739575
192	1092.632971
193	1090.469981
194	1088.519525
195	1087.011834
196	1083.892715
197	1081.828961
198	1078.678862
199	1075.716077
200	1074.237135
201	1073.080105
202	1071.033834
203	1068.896409
204	1066.925035
205	1064.221253
206	1061.925945
207	1059.508562
208	1057.751412
209	1055.18532
210	1052.936927
211	1051.279978
212	1048.90941
213	1047.517978
214	1044.384695
215	1042.639379
216	1041.431239
217	1040.636934
218	1038.660408
219	1037.191814
220	1034.308114
221	1032.204407
222	1030.601573
223	1029.307856
224	1026.716091
225	1024.723176
226	1022.945616
227	1022.807585
228	1020.529104
229	1019.403096
230	1018.317207
231	1016.593988
232	1015.488996
233	1015.238471
234	1013.199181
235	1011.987148
236	1010.715414
237	1009.929165
238	1008.790871
239	1007.588103
240	1007.51306
241	1006.297559
242	1006.061551
243	1003.920332
244	1002.426394
245	1002.260845
246	1000.456699
247	999.9337956
248	997.456388
249	996.9214598
250	994.3535781
251	992.5951697
252	990.9391173
253	989.0971488
254	988.9219562
255	987.1210175
256	986.4225916
257	985.8022902
258	982.8689549
259	981.5347139
260	980.123112
261	978.3773216
262	977.7350871
263	975.7587942
264	972.6645143
265	970.5502925
266	969.0525252
267	968.4612985
268	966.7471627
269	965.2901016
270	963.3789764
271	961.1994014
272	959.7153131
273	958.1477217
274	956.6945327
275	956.5585982
276	955.0044192
277	953.5965567
278	953.4629408
279	952.8987394
280	951.5233687
281	949.2451276
282	947.3024472
283	945.8110038
284	945.284549
285	944.046314
286	943.1893608
287	942.3967637
288	941.4106943
289	939.8229939
290	937.9566544
291	936.2798305
292	936.1239762
293	934.2668775
294	934.0383949
295	932.7798911
296	931.7803776
297	930.4935362
298	929.1178354
299	927.5788904
300	926.4112207
301	925.2669307
302	924.2567817
303	922.5003518
304	921.7143381
305	920.6732739
306	919.8008162
307	918.4539874
308	917.3594979
309	916.4059254
310	915.345763
311	914.2714575
312	913.8867605
313	913.2841373
314	912.497092
315	911.6354967
316	910.3469619
317	909.1488999
318	908.1786928
319	907.1069358
320	906.3347916
321	904.5303321
322	903.2170023
323	902.5103639
324	901.254172
325	900.4103576
326	899.5185861
327	899.0975407
328	898.5482622
329	897.5777591
330	897.4809724
331	896.8242646
332	896.0306926
333	895.0375908
334	894.1615526
335	892.8256259
336	892.0514631
337	891.9582533
338	891.134403
339	891.0432709
340	890.9546932
341	890.0802007
342	889.27982
343	888.5177629
344	888.432667
345	887.8245379
346	887.0466188
